four_digit,tri1Tutoring,tri2Tutoring,tri3Tutoring,tri1Events,tri2Events,tri3Events
3439,0.0,0.0,0.0,0.0,0.0,0.0
3003,0.0,0.0,0.0,12.0,0.0,0.0
3036,1.0,0.0,0.0,19.0,0.0,0.0
3041,0.0,0.0,0.0,13.0,0.0,0.0
3047,0.0,0.0,0.0,15.75,0.0,0.0
3055,0.0,0.0,0.0,1.0,0.0,0.0
3071,0.0,0.0,0.0,1.0,0.0,0.0
3074,0.0,0.0,0.0,15.5,0.0,0.0
3087,0.0,0.0,0.0,7.5,0.0,0.0
3105,1.0,0.0,0.0,6.0,0.0,0.0
3115,3.0,0.0,0.0,13.0,0.0,0.0
3117,1.0,0.0,0.0,18.5,0.0,0.0
3121,0.0,0.0,0.0,14.5,0.0,0.0
3124,0.0,0.0,0.0,0.0,0.0,0.0
3128,2.0,0.0,0.0,19.0,0.0,0.0
3129,0.0,0.0,0.0,0.0,0.0,0.0
3130,0.0,0.0,0.0,0.0,0.0,0.0
3132,1.0,0.0,0.0,11.5,0.0,0.0
3133,0.0,0.0,0.0,1.0,0.0,0.0
3136,0.0,0.0,0.0,9.5,0.0,0.0
3150,0.0,0.0,0.0,0.0,0.0,0.0
3158,0.0,0.0,0.0,14.0,0.0,0.0
3159,0.0,0.0,0.0,0.0,0.0,0.0
3174,0.0,0.0,0.0,0.0,0.0,0.0
3177,0.0,0.0,0.0,16.0,0.0,0.0
3182,0.0,0.0,0.0,0.0,0.0,0.0
3183,0.0,0.0,0.0,8.5,0.0,0.0
3207,0.0,0.0,0.0,14.0,0.0,0.0
3218,0.0,0.0,0.0,16.0,0.0,0.0
3219,0.0,0.0,0.0,11.0,0.0,0.0
3232,0.0,0.0,0.0,11.0,0.0,0.0
3238,1.0,0.0,0.0,50.0,0.0,0.0
3240,0.0,0.0,0.0,17.5,0.0,0.0
3247,1.0,0.0,0.0,0.0,0.0,0.0
3252,0.0,0.0,0.0,31.0,0.0,0.0
3253,0.0,0.0,0.0,20.0,0.0,0.0
3254,1.0,0.0,0.0,17.0,0.0,0.0
3265,0.0,0.0,0.0,1.0,0.0,0.0
3269,0.0,0.0,0.0,0.0,0.0,0.0
3272,0.0,0.0,0.0,15.0,0.0,0.0
3287,0.0,0.0,0.0,6.0,0.0,0.0
3301,0.0,0.0,0.0,14.0,0.0,0.0
3314,0.0,0.0,0.0,2.0,0.0,0.0
3316,0.0,0.0,0.0,0.0,0.0,0.0
3336,0.0,0.0,0.0,18.5,0.0,0.0
3339,0.0,0.0,0.0,0.0,0.0,0.0
3343,0.0,0.0,0.0,6.0,0.0,0.0
3353,0.0,0.0,0.0,1.0,0.0,0.0
3376,0.0,0.0,0.0,6.0,0.0,0.0
3383,0.0,0.0,0.0,62.0,0.0,0.0
3389,0.0,0.0,0.0,22.5,0.0,0.0
3402,0.0,0.0,0.0,15.5,0.0,0.0
3404,0.0,0.0,0.0,35.5,0.0,0.0
3415,1.0,0.0,0.0,15.5,0.0,0.0
3428,0.0,0.0,0.0,1.0,0.0,0.0
3432,0.0,0.0,0.0,17.5,0.0,0.0
3435,0.0,0.0,0.0,0.0,0.0,0.0
3463,0.0,0.0,0.0,6.0,0.0,0.0
3465,0.0,0.0,0.0,26.0,0.0,0.0
3466,0.0,0.0,0.0,1.0,0.0,0.0
3495,0.0,0.0,0.0,3.5,0.0,0.0
3500,0.0,0.0,0.0,0.0,0.0,0.0
3506,4.0,0.0,0.0,15.5,0.0,0.0
3513,0.0,0.0,0.0,1.0,0.0,0.0
3527,0.0,0.0,0.0,11.5,0.0,0.0
3530,0.0,0.0,0.0,12.5,0.0,0.0
3541,0.0,0.0,0.0,6.5,0.0,0.0
3560,0.0,0.0,0.0,20.0,0.0,0.0
3583,0.0,0.0,0.0,6.0,0.0,0.0
3586,0.0,0.0,0.0,1.0,0.0,0.0
3600,0.0,0.0,0.0,0.0,0.0,0.0
3611,0.0,0.0,0.0,16.0,0.0,0.0
3621,0.0,0.0,0.0,6.0,0.0,0.0
3629,0.0,0.0,0.0,16.5,0.0,0.0
3635,0.0,0.0,0.0,14.5,0.0,0.0
3640,0.0,0.0,0.0,24.0,0.0,0.0
3645,0.0,0.0,0.0,11.5,0.0,0.0
3648,0.0,0.0,0.0,8.0,0.0,0.0
3662,8.0,0.0,0.0,2.0,0.0,0.0
3671,0.0,0.0,0.0,19.5,0.0,0.0
3674,0.0,0.0,0.0,21.5,0.0,0.0
3680,0.0,0.0,0.0,0.0,0.0,0.0
3683,0.0,0.0,0.0,0.0,0.0,0.0
3714,0.0,0.0,0.0,0.0,0.0,0.0
3729,0.0,0.0,0.0,0.0,0.0,0.0
3735,0.0,0.0,0.0,23.5,0.0,0.0
3743,0.0,0.0,0.0,12.5,0.0,0.0
3744,0.0,0.0,0.0,37.0,0.0,0.0
3753,0.0,0.0,0.0,22.5,0.0,0.0
3757,0.0,0.0,0.0,15.0,0.0,0.0
3760,3.0,0.0,0.0,8.0,0.0,0.0
3767,3.0,0.0,0.0,14.0,0.0,0.0
3775,0.0,0.0,0.0,0.0,0.0,0.0
3778,0.0,0.0,0.0,41.5,0.0,0.0
3779,0.0,0.0,0.0,17.0,0.0,0.0
3784,0.0,0.0,0.0,0.0,0.0,0.0
3789,0.0,0.0,0.0,1.0,0.0,0.0
3795,0.0,0.0,0.0,0.0,0.0,0.0
3796,0.0,0.0,0.0,1.0,0.0,0.0
3799,0.0,0.0,0.0,12.0,0.0,0.0
3825,0.0,0.0,0.0,19.0,0.0,0.0
3841,0.0,0.0,0.0,0.0,0.0,0.0
3844,0.0,0.0,0.0,14.5,0.0,0.0
3855,0.0,0.0,0.0,4.0,0.0,0.0
3858,0.0,0.0,0.0,12.5,0.0,0.0
3862,0.0,0.0,0.0,1.0,0.0,0.0
3863,0.0,0.0,0.0,6.0,0.0,0.0
3865,1.0,0.0,0.0,12.5,0.0,0.0
3867,0.0,0.0,0.0,23.0,0.0,0.0
3868,0.0,0.0,0.0,1.0,0.0,0.0
3876,0.0,0.0,0.0,1.0,0.0,0.0
3883,0.0,0.0,0.0,0.0,0.0,0.0
3890,0.0,0.0,0.0,0.0,0.0,0.0
3896,0.0,0.0,0.0,16.5,0.0,0.0
3912,0.0,0.0,0.0,9.0,0.0,0.0
3921,0.0,0.0,0.0,19.0,0.0,0.0
3927,0.0,0.0,0.0,1.0,0.0,0.0
3930,0.0,0.0,0.0,16.5,0.0,0.0
3931,0.0,0.0,0.0,13.5,0.0,0.0
3942,1.0,0.0,0.0,0.0,0.0,0.0
3960,0.0,0.0,0.0,0.0,0.0,0.0
3982,0.0,0.0,0.0,1.0,0.0,0.0
3988,0.0,0.0,0.0,13.0,0.0,0.0
4004,0.0,0.0,0.0,16.0,0.0,0.0
4014,0.0,0.0,0.0,26.0,0.0,0.0
4018,0.0,0.0,0.0,17.0,0.0,0.0
4025,0.0,0.0,0.0,1.0,0.0,0.0
4035,1.0,0.0,0.0,13.0,0.0,0.0
4046,0.0,0.0,0.0,1.0,0.0,0.0
4070,0.0,0.0,0.0,86.5,0.0,0.0
4095,0.0,0.0,0.0,26.0,0.0,0.0
4098,2.0,0.0,0.0,20.0,0.0,0.0
4101,0.0,0.0,0.0,10.0,0.0,0.0
4157,0.0,0.0,0.0,1.0,0.0,0.0
4163,0.0,0.0,0.0,5.0,0.0,0.0
4175,1.0,0.0,0.0,35.0,0.0,0.0
4193,0.0,0.0,0.0,22.0,0.0,0.0
4197,0.0,0.0,0.0,10.5,0.0,0.0
4207,0.0,0.0,0.0,18.0,0.0,0.0
4223,0.0,0.0,0.0,5.0,0.0,0.0
4232,0.0,0.0,0.0,100.25,0.0,0.0
4233,0.0,0.0,0.0,22.5,0.0,0.0
4242,1.0,0.0,0.0,1.0,0.0,0.0
4248,0.0,0.0,0.0,15.5,0.0,0.0
4262,0.0,0.0,0.0,8.0,0.0,0.0
4275,0.0,0.0,0.0,16.0,0.0,0.0
4283,0.0,0.0,0.0,13.0,0.0,0.0
4288,0.0,0.0,0.0,1.0,0.0,0.0
4294,0.0,0.0,0.0,12.0,0.0,0.0
4312,0.0,0.0,0.0,13.0,0.0,0.0
4318,0.0,0.0,0.0,14.5,0.0,0.0
4324,0.0,0.0,0.0,1.0,0.0,0.0
4351,0.0,0.0,0.0,24.0,0.0,0.0
4353,0.0,0.0,0.0,8.0,0.0,0.0
4356,0.0,0.0,0.0,35.0,0.0,0.0
4360,0.0,0.0,0.0,17.0,0.0,0.0
4386,0.0,0.0,0.0,20.0,0.0,0.0
4410,0.0,0.0,0.0,21.0,0.0,0.0
4411,1.0,0.0,0.0,17.0,0.0,0.0
4422,0.0,0.0,0.0,33.0,0.0,0.0
4425,0.0,0.0,0.0,23.5,0.0,0.0
4428,1.0,0.0,0.0,0.0,0.0,0.0
4443,0.0,0.0,0.0,8.0,0.0,0.0
4446,0.0,0.0,0.0,15.0,0.0,0.0
4453,0.0,0.0,0.0,7.5,0.0,0.0
4461,0.0,0.0,0.0,4.0,0.0,0.0
4474,0.0,0.0,0.0,1.0,0.0,0.0
4476,0.0,0.0,0.0,8.0,0.0,0.0
4480,0.0,0.0,0.0,42.5,0.0,0.0
4483,1.5,0.0,0.0,18.0,0.0,0.0
4488,0.0,0.0,0.0,12.0,0.0,0.0
4490,0.0,0.0,0.0,28.0,0.0,0.0
4507,0.0,0.0,0.0,15.0,0.0,0.0
4510,0.0,0.0,0.0,0.0,0.0,0.0
4515,0.0,0.0,0.0,15.0,0.0,0.0
4532,0.0,0.0,0.0,23.0,0.0,0.0
4545,0.0,0.0,0.0,1.0,0.0,0.0
4557,0.0,0.0,0.0,4.5,0.0,0.0
4566,0.0,0.0,0.0,1.0,0.0,0.0
4567,1.0,0.0,0.0,10.0,0.0,0.0
4568,0.0,0.0,0.0,15.0,0.0,0.0
4583,0.0,0.0,0.0,24.0,0.0,0.0
4599,0.0,0.0,0.0,23.0,0.0,0.0
